month,ccaa,operator,power_kW,band,usagecost_original,parsed,reason
2025-09,Comunidad de Madrid,,7.4,AC,,,no_kwh
2025-09,Comunidad de Madrid,,22.0,AC,,,no_kwh
2025-09,Comunidad de Madrid,,22.0,AC,"0,36€/kWh",0.36,ok
2025-09,Comunidad de Madrid,,22.0,AC,"0,36€/kWh",0.36,ok
2025-09,Comunidad de Madrid,,100.0,DC,"0,54€/kWh",0.54,ok
2025-09,Comunidad de Madrid,,7.4,AC,,,no_kwh
2025-09,Comunidad de Madrid,,3.7,AC,,,no_kwh
2025-09,Comunidad de Madrid,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Comunidad de Madrid,,100.0,DC,"0,54 €/kWh DC",0.54,ok
2025-09,Comunidad de Madrid,,80.0,DC,"0,54 €/kWh DC",0.54,ok
2025-09,Comunidad de Madrid,,7.4,AC,free,,free
2025-09,Comunidad de Madrid,,100.0,DC,"0,54€/kWh ",0.54,ok
2025-09,Comunidad de Madrid,,150.0,DC,0.59€/kWh,0.59,ok
2025-09,Comunidad de Madrid,,11.0,AC,"0,45€/kWh",0.45,ok
2025-09,Comunidad de Madrid,,22.0,AC,,,empty
2025-09,Comunidad de Madrid,,50.0,DC," 0,47€/kWh ",0.47,ok
2025-09,Comunidad de Madrid,,43.0,DC," 0,47€/kWh ",0.47,ok
2025-09,Comunidad de Madrid,,50.0,DC," 0,47€/kWh ",0.47,ok
2025-09,Comunidad de Madrid,,7.3,AC,"0,35€/kWh",0.35,ok
2025-09,Comunidad de Madrid,,7.4,AC,,,no_kwh
2025-09,Comunidad de Madrid,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Comunidad de Madrid,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Comunidad de Madrid,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Comunidad de Madrid,,100.0,DC,"0,65€/kWh",0.65,ok
2025-09,Comunidad de Madrid,,3.7,AC,,,empty
2025-09,Comunidad de Madrid,,22.0,AC,free,,free
2025-09,Comunidad de Madrid,,2.3,AC,free,,free
2025-09,Comunidad de Madrid,,22.0,AC,"0,45€/kWh - 0,30€/kWh for Golf Club Members",0.45,ok
2025-09,Comunidad de Madrid,,22.0,AC,"0,45€/kWh AC",0.45,ok
2025-09,Comunidad de Madrid,,22.0,AC,free,,free
2025-09,Comunidad de Madrid,,22.0,AC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-09,Comunidad de Madrid,,7.4,AC,free,,free
2025-09,Comunidad de Madrid,,11.0,AC,,,no_kwh
2025-09,Comunidad de Madrid,,22.0,AC,,,no_kwh
2025-09,Comunidad de Madrid,,43.0,DC,"0,47€/kWh DC - 0,35€/kWh AC",0.47,ok
2025-09,Comunidad de Madrid,,50.0,DC,"0,47€/kWh DC - 0,35€/kWh AC",0.47,ok
2025-09,Comunidad de Madrid,,50.0,DC,"0,47€/kWh DC - 0,35€/kWh AC",0.47,ok
2025-09,Comunidad de Madrid,,22.0,AC,free,,free
2025-09,Comunidad de Madrid,,22.0,AC,free,,free
2025-09,Comunidad de Madrid,,2.3,AC,free,,free
2025-09,Comunidad de Madrid,,22.0,AC,"0,20€",,no_kwh
2025-09,Comunidad de Madrid,,3.7,AC,,,no_kwh
2025-09,Comunidad de Madrid,,2.3,AC,,,no_kwh
2025-09,Comunidad de Madrid,,150.0,DC,"0,60€/kWh",0.6,ok
2025-09,Comunidad de Madrid,,7.4,AC,0,,no_kwh
2025-09,Comunidad de Madrid,,60.0,DC,"0,30€/kWh",0.3,ok
2025-09,Comunidad de Madrid,,100.0,DC,"0.59€/kWh >60kW - 0,45€/kWh DC - 0,32€/kWh AC",0.59,ok
2025-09,Comunidad de Madrid,,50.0,DC,"0.59€/kWh >60kW - 0,45€/kWh DC - 0,32€/kWh AC",0.59,ok
2025-09,Comunidad de Madrid,,100.0,DC,"0.59€/kWh >60kW - 0,45€/kWh DC - 0,32€/kWh AC",0.59,ok
2025-09,Comunidad de Madrid,,50.0,DC,"0.59€/kWh >60kW - 0,45€/kWh DC - 0,32€/kWh AC",0.59,ok
2025-09,Comunidad de Madrid,,22.0,AC,"0.59€/kWh >60kW - 0,45€/kWh DC - 0,32€/kWh AC",0.59,ok
2025-09,Comunidad de Madrid,,22.0,AC,"0,38€/kWh AC - (0,03€/min parked without charging)",0.38,ok
2025-09,Comunidad de Madrid,,7.4,AC,"0,38€/kWh",0.38,ok
2025-09,Comunidad de Madrid,,7.4,AC,free,,free
2025-09,Comunidad de Madrid,,22.0,AC,Free,,free
2025-09,Comunidad de Madrid,,22.0,AC,,,no_kwh
2025-09,Comunidad de Madrid,,11.0,AC,,,no_kwh
2025-09,Comunidad de Madrid,,7.4,AC,free,,free
2025-09,Comunidad de Madrid,,150.0,DC,0.59€/kWh,0.59,ok
2025-09,Comunidad de Madrid,,22.0,AC,Free,,free
2025-09,Comunidad de Madrid,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Comunidad de Madrid,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
