month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-04,La Rioja,,7.4,AC,,,no_kwh
2025-04,La Rioja,,7.0,AC,"0,25€/kWh",0.25,ok
2025-04,La Rioja,,7.4,AC,"0,25€/kWh",0.25,ok
2025-04,La Rioja,,3.7,AC,"0,25€/kWh",0.25,ok
2025-04,La Rioja,,22.0,AC,,,no_kwh
2025-04,La Rioja,,11.0,AC,,,no_kwh
2025-04,La Rioja,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-04,La Rioja,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-04,La Rioja,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-04,La Rioja,,7.4,AC,"0,39€/kWh",0.39,ok
2025-04,La Rioja,,3.7,AC,,,no_kwh
2025-04,La Rioja,,22.0,AC,,,empty
2025-04,La Rioja,,22.0,AC,"0,20€/kWh",0.2,ok
2025-04,La Rioja,,22.0,AC,"0,31€/kWh",0.31,ok
2025-04,La Rioja,,3.7,AC,,,no_kwh
2025-04,La Rioja,,150.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-04,La Rioja,,50.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-04,La Rioja,,50.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-04,La Rioja,,43.0,DC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-04,La Rioja,,22.0,AC,"0,50€/kWh 100kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-04,La Rioja,,22.0,AC,free for customers,,free
2025-04,La Rioja,,11.0,AC,,,no_kwh
2025-04,La Rioja,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,La Rioja,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,La Rioja,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-04,La Rioja,,22.0,AC,"0,55€/kWh",0.55,ok
2025-04,La Rioja,,22.0,AC,"0,58€/kWh D C>60kW - 0,38€/kWh AC - (0,40€/min DC / 0,03€/min AC parked without charging)",0.58,ok
