month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-02,Bizkaia,,7.4,AC,"0,42€/kWh",0.42,ok
2025-02,Bizkaia,,22.0,AC,,,empty
2025-02,Bizkaia,,22.0,AC,"0,43€/kWh",0.43,ok
2025-02,Bizkaia,,14.0,AC,,,empty
2025-02,Bizkaia,,11.0,AC,,,empty
2025-02,Bizkaia,,3.7,AC,,,no_kwh
2025-02,Bizkaia,,7.4,AC,,,empty
2025-02,Bizkaia,,22.0,AC,free,,free
2025-02,Bizkaia,,3.7,AC,,,empty
2025-02,Bizkaia,,11.0,AC,,,no_kwh
2025-02,Bizkaia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-02,Bizkaia,,50.0,DC,"0,45€/kWh",0.45,ok
2025-02,Bizkaia,,50.0,DC,,,no_kwh
2025-02,Bizkaia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-02,Bizkaia,,3.7,AC,,,empty
2025-02,Bizkaia,,3.7,AC,,,empty
2025-02,Bizkaia,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-02,Bizkaia,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-02,Bizkaia,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-02,Bizkaia,,22.0,AC," 0,35€/kWh",0.35,ok
2025-02,Bizkaia,,3.7,AC,,,empty
2025-02,Bizkaia,,3.7,AC,,,empty
2025-02,Bizkaia,,100.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-02,Bizkaia,,50.0,DC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-02,Bizkaia,,22.0,AC,"0,50€/kWh 150kW - 0,39€/kWh 50 kW - 0,32€/kWh AC",0.5,ok
2025-02,Bizkaia,,7.4,AC,"0,35€/kWh",0.35,ok
2025-02,Bizkaia,,22.0,AC,"0,39€/kWh",0.39,ok
2025-02,Bizkaia,,100.0,DC,"0,54€/kWh DC ",0.54,ok
2025-02,Bizkaia,,80.0,DC,"0,54€/kWh DC ",0.54,ok
2025-02,Bizkaia,,11.0,AC,,,no_kwh
2025-02,Bizkaia,,3.7,AC,,,no_kwh
2025-02,Bizkaia,,22.0,AC,,,empty
2025-02,Bizkaia,,60.0,DC," 0,45€/kWh - 0,40€/kWh AC ",0.45,ok
2025-02,Bizkaia,,22.0,AC," 0,45€/kWh - 0,40€/kWh AC ",0.45,ok
2025-02,Bizkaia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-02,Bizkaia,,50.0,DC,free,,free
2025-02,Bizkaia,,50.0,DC,free,,free
2025-02,Bizkaia,,3.7,AC,,,empty
2025-02,Bizkaia,,7.4,AC,,,empty
2025-02,Bizkaia,,150.0,DC,"0,70€/kWh",0.7,ok
2025-02,Bizkaia,,50.0,DC," 0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-02,Bizkaia,,50.0,DC," 0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-02,Bizkaia,,22.0,AC," 0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-02,Bizkaia,,150.0,DC,,,empty
2025-02,Bizkaia,,3.7,AC,,,no_kwh
2025-02,Bizkaia,,3.7,AC,,,no_kwh
2025-02,Bizkaia,,22.0,AC,,,empty
2025-02,Bizkaia,,7.4,AC,free,,free
2025-02,Bizkaia,,11.0,AC,,,no_kwh
2025-02,Bizkaia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-02,Bizkaia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-02,Bizkaia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-02,Bizkaia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-02,Bizkaia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-02,Bizkaia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-02,Bizkaia,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-02,Bizkaia,,43.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-02,Bizkaia,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-02,Bizkaia,,150.0,DC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-02,Bizkaia,,22.0,AC,"0,54€/kWh DC - 0,39€/kWh AC",0.54,ok
2025-02,Bizkaia,,3.7,AC,Free.  Limited to 1 hour. Accessible during business hours,,free
2025-02,Bizkaia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-02,Bizkaia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-02,Bizkaia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-02,Bizkaia,,7.4,AC,"0,35€/kWh",0.35,ok
2025-02,Bizkaia,,22.0,AC,free,,free
2025-02,Bizkaia,,9.0,AC,,,empty
2025-02,Bizkaia,,11.0,AC,,,empty
2025-02,Bizkaia,,3.7,AC,,,no_kwh
2025-02,Bizkaia,,11.0,AC,,,empty
2025-02,Bizkaia,,7.4,AC,,,empty
2025-02,Bizkaia,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-02,Bizkaia,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-02,Bizkaia,,7.4,AC,,,empty
2025-02,Bizkaia,,3.7,AC,,,empty
2025-02,Bizkaia,,7.4,AC,"0,35€/kWh",0.35,ok
2025-02,Bizkaia,,22.0,AC,"0,30€/kWh",0.3,ok
2025-02,Bizkaia,,50.0,DC,,,no_kwh
2025-02,Bizkaia,,50.0,DC,,,no_kwh
2025-02,Bizkaia,,43.0,DC,,,no_kwh
2025-02,Bizkaia,,22.0,AC," 0,38€/kWh AC",0.38,ok
2025-02,Bizkaia,,50.0,DC,0.48€/kWh,0.48,ok
2025-02,Bizkaia,,50.0,DC,0.48€/kWh,0.48,ok
2025-02,Bizkaia,,22.0,AC,0.48€/kWh,0.48,ok
2025-02,Bizkaia,,50.0,DC,0.48€/kWh,0.48,ok
2025-02,Bizkaia,,50.0,DC,0.48€/kWh,0.48,ok
2025-02,Bizkaia,,22.0,AC,0.48€/kWh,0.48,ok
2025-02,Bizkaia,,22.0,AC," 0,38€/kWh AC",0.38,ok
2025-02,Bizkaia,,22.0,AC," 0,38€/kWh AC",0.38,ok
2025-02,Bizkaia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-02,Bizkaia,,50.0,DC,"0,47€/kWh",0.47,ok
2025-02,Bizkaia,,43.0,DC,"0,47€/kWh",0.47,ok
2025-02,Bizkaia,,22.0,AC,,,empty
2025-02,Bizkaia,,7.4,AC,"0,35€/kWh",0.35,ok
2025-02,Bizkaia,,100.0,DC," 0,54€/kWh 80-200kW - 0,39€/kWh 22kW AC",0.54,ok
2025-02,Bizkaia,,22.0,AC," 0,54€/kWh 80-200kW - 0,39€/kWh 22kW AC",0.54,ok
2025-02,Bizkaia,,7.4,AC,"0,35€/kWh",0.35,ok
2025-02,Bizkaia,,7.4,AC,"0,35€/kWh",0.35,ok
2025-02,Bizkaia,,150.0,DC,"0,54-0,49€/kWh  DC - 0,39€/kWhAC",0.49,ok
2025-02,Bizkaia,,150.0,DC,"0,54-0,49€/kWh  DC - 0,39€/kWhAC",0.49,ok
2025-02,Bizkaia,,50.0,DC,"0,54-0,49€/kWh  DC - 0,39€/kWhAC",0.49,ok
2025-02,Bizkaia,,50.0,DC,"0,54-0,49€/kWh  DC - 0,39€/kWhAC",0.49,ok
2025-02,Bizkaia,,22.0,AC,"0,54-0,49€/kWh  DC - 0,39€/kWhAC",0.49,ok
2025-02,Bizkaia,,3.7,AC,,,empty
2025-02,Bizkaia,,11.0,AC,,,empty
2025-02,Bizkaia,,11.0,AC,,,empty
2025-02,Bizkaia,,300.0,DC,"0,60€/kWh",0.6,ok
2025-02,Bizkaia,,7.4,AC,"0,35€/kWh",0.35,ok
2025-02,Bizkaia,,22.0,AC,"0,35 €/kWh",0.35,ok
2025-02,Bizkaia,,7.36,AC,"0,35 €/kWh",0.35,ok
2025-02,Bizkaia,,7.36,AC,"0,35 €/kWh",0.35,ok
2025-02,Bizkaia,,11.0,AC,"0,25€/kWh AC",0.25,ok
2025-02,Bizkaia,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-02,Bizkaia,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-02,Bizkaia,,22.0,AC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-02,Bizkaia,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-02,Bizkaia,,50.0,DC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-02,Bizkaia,,22.0,AC,"0,45€/kWh - 0,39€/kWh 22kW AC",0.45,ok
2025-02,Bizkaia,,22.0,AC,"0,25€/kWh",0.25,ok
2025-02,Bizkaia,,22.0,AC,,,empty
2025-02,Bizkaia,,43.0,DC,"0,45€/kWh DC - 0,35€/kWh AC",0.45,ok
2025-02,Bizkaia,,50.0,DC,"0,45€/kWh DC - 0,35€/kWh AC",0.45,ok
2025-02,Bizkaia,,50.0,DC,"0,45€/kWh DC - 0,35€/kWh AC",0.45,ok
2025-02,Bizkaia,,50.0,DC," 0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-02,Bizkaia,,50.0,DC," 0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-02,Bizkaia,,,," 0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-02,Bizkaia,,22.0,AC,"0,39€/kwh",0.39,ok
2025-02,Bizkaia,,11.0,AC,,,empty
2025-02,Bizkaia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-02,Bizkaia,,50.0,DC,0.47€/kWh ,0.47,ok
2025-02,Bizkaia,,43.0,DC,0.47€/kWh ,0.47,ok
2025-02,Bizkaia,,22.0,AC,"0,39€/kWh",0.39,ok
2025-02,Bizkaia,,7.4,AC,,,empty
2025-02,Bizkaia,,180.0,DC,"0,54€/kWh",0.54,ok
2025-02,Bizkaia,,180.0,DC,"0,54€/kWh",0.54,ok
2025-02,Bizkaia,,350.0,DC,"0,65€/kWh (or subscription rates) ",0.65,ok
2025-02,Bizkaia,,50.0,DC,"0,45 €/kWh",0.45,ok
2025-02,Bizkaia,,22.0,AC,"0,35€/kWh",0.35,ok
2025-02,Bizkaia,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-02,Bizkaia,,43.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-02,Bizkaia,,50.0,DC," 0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-02,Bizkaia,,50.0,DC," 0,47€/kWh ",0.47,ok
2025-02,Bizkaia,,43.0,DC," 0,47€/kWh ",0.47,ok
2025-02,Bizkaia,,50.0,DC," 0,47€/kWh ",0.47,ok
