month,provincia,operator,power_kW,band,usagecost_original,parsed,reason
2025-07,Ávila,,11.0,AC,,,no_kwh
2025-07,Ávila,,22.0,AC,"1,5€/hora",,no_kwh
2025-07,Ávila,,2.3,AC,"1,5€/hora",,no_kwh
2025-07,Ávila,,22.0,AC,parking fee,,no_kwh
2025-07,Ávila,,2.3,AC,parking fee,,no_kwh
2025-07,Ávila,,3.7,AC,,,no_kwh
2025-07,Ávila,,7.4,AC,"0,20€/kWh",0.2,ok
2025-07,Ávila,,50.0,DC,0.47€/kWh ,0.47,ok
2025-07,Ávila,,50.0,DC,0.47€/kWh ,0.47,ok
2025-07,Ávila,,43.0,DC,0.47€/kWh ,0.47,ok
2025-07,Ávila,,50.0,DC,"0,45€/kWh",0.45,ok
2025-07,Ávila,,50.0,DC,"0,45€/kWh",0.45,ok
2025-07,Ávila,,43.0,DC,"0,45€/kWh",0.45,ok
2025-07,Ávila,,360.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW",0.69,ok
2025-07,Ávila,,180.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW",0.69,ok
2025-07,Ávila,,80.0,DC,"0,69€/kWh >200kW - 0,54€/kWh 80-200kW",0.69,ok
2025-07,Ávila,,50.0,DC,0.47€/kWh ,0.47,ok
2025-07,Ávila,,50.0,DC,0.47€/kWh ,0.47,ok
2025-07,Ávila,,43.0,DC,0.47€/kWh ,0.47,ok
2025-07,Ávila,,50.0,DC,0.47€/kWh ,0.47,ok
2025-07,Ávila,,50.0,DC,0.47€/kWh ,0.47,ok
2025-07,Ávila,,43.0,DC,0.47€/kWh ,0.47,ok
2025-07,Ávila,,7.4,AC,"0,38€/kWh ",0.38,ok
2025-07,Ávila,,3.7,AC,,,no_kwh
2025-07,Ávila,,22.0,AC,,,no_kwh
2025-07,Ávila,,50.0,DC," 0,47€/kWh",0.47,ok
2025-07,Ávila,,43.0,DC," 0,47€/kWh",0.47,ok
2025-07,Ávila,,50.0,DC," 0,47€/kWh",0.47,ok
2025-07,Ávila,,22.0,AC,"0,25€/kWh",0.25,ok
2025-07,Ávila,,3.7,AC,,,no_kwh
2025-07,Ávila,,7.3,AC,"0,39€/kWh ",0.39,ok
2025-07,Ávila,,250.0,DC,,,empty
2025-07,Ávila,,11.0,AC,,,empty
2025-07,Ávila,,22.0,AC,,,empty
2025-07,Ávila,,22.0,AC,"0,42€/kWh",0.42,ok
2025-07,Ávila,,50.0,DC,"0,45€/kWh",0.45,ok
2025-07,Ávila,,50.0,DC,"0,45€/kWh",0.45,ok
2025-07,Ávila,,22.0,AC,,,no_kwh
2025-07,Ávila,,7.4,AC,"0,25€/kWh",0.25,ok
2025-07,Ávila,,90.0,DC,"0,49€/kWh DC ",0.49,ok
2025-07,Ávila,,22.0,AC,"0,25€/kWh",0.25,ok
2025-07,Ávila,,150.0,DC,"0,60€/kWh",0.6,ok
2025-07,Ávila,,75.0,DC,"0.60€/kWh >60kW - 0,45€/kWh DC - 0,40€/kWh AC",0.6,ok
2025-07,Ávila,,50.0,DC,"0.60€/kWh >60kW - 0,45€/kWh DC - 0,40€/kWh AC",0.6,ok
2025-07,Ávila,,22.0,AC,"0.60€/kWh >60kW - 0,45€/kWh DC - 0,40€/kWh AC",0.6,ok
2025-07,Ávila,,60.0,DC,"0.60€/kWh >60kW - 0,45€/kWh DC - 0,40€/kWh AC",0.6,ok
2025-07,Ávila,,22.0,AC,"0,30€/kWh + parking 9€/noche",0.3,ok
2025-07,Ávila,,22.0,AC,"0,25€/kWh ",0.25,ok
2025-07,Ávila,,50.0,DC,"0,25€/kWh ",0.25,ok
2025-07,Ávila,,22.0,AC,"0,20€/kWh",0.2,ok
2025-07,Ávila,,22.0,AC,"0,20€/kWh",0.2,ok
2025-07,Ávila,,50.0,DC,"0,45€/kWh",0.45,ok
2025-07,Ávila,,50.0,DC,"0,45€/kWh",0.45,ok
2025-07,Ávila,,43.0,DC,"0,45€/kWh",0.45,ok
2025-07,Ávila,,22.0,AC,"0,38€/kWh + parking fee",0.38,ok
2025-07,Ávila,,7.4,AC,0.40€/kWh,0.4,ok
2025-07,Ávila,,7.4,AC,0.40€/kWh,0.4,ok
2025-07,Ávila,,22.0,AC,"0,39€/kWh + parking ",0.39,ok
2025-07,Ávila,,11.0,AC,,,no_kwh
2025-07,Ávila,,7.4,AC,"0,38€/kWh + parking fee",0.38,ok
2025-07,Ávila,,22.0,AC,"0,39€/kWh + parking fee",0.39,ok
2025-07,Ávila,,22.0,AC,"0,39€/kWh + parking fee",0.39,ok
2025-07,Ávila,,3.7,AC,free,,free
2025-07,Ávila,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-07,Ávila,,43.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-07,Ávila,,50.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-07,Ávila,,50.0,DC,"0,23€/kWh",0.23,ok
2025-07,Ávila,,22.0,AC,"0,23€/kWh",0.23,ok
2025-07,Ávila,,22.0,AC,"0,25€/kWh",0.25,ok
2025-07,Ávila,,100.0,DC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-07,Ávila,,7.4,AC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-07,Ávila,,22.0,AC,"parking fee + 0,47€/kWh (0,01€/min parked without charging)",0.47,ok
2025-07,Ávila,,22.0,AC,"0,20€/kWh",0.2,ok
2025-07,Ávila,,3.7,AC,,,no_kwh
2025-07,Ávila,,7.4,AC,"0,20€/kWh",0.2,ok
2025-07,Ávila,,22.0,AC,"0,38€/kWh + parking fee",0.38,ok
2025-07,Ávila,,22.0,AC,"0,39€/kWh + parking fee",0.39,ok
2025-07,Ávila,,22.0,AC,,,no_kwh
2025-07,Ávila,,22.0,AC,,,no_kwh
2025-07,Ávila,,22.0,AC,Free,,free
2025-07,Ávila,,11.0,AC,Free,,free
2025-07,Ávila,,22.0,AC,Free,,free
2025-07,Ávila,,11.0,AC,,,empty
2025-07,Ávila,,14.0,AC,,,empty
2025-07,Ávila,,11.0,AC,,,empty
